カテゴリ,製品,発売日,通信,ケースサイズ(mm),ケース素材,ケースカラー,バンド種類,バンドカラー,バンドサイズ,手首サイズ目安,Apple 部品番号(SKU),JAN,出典(型番/JAN)
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,ジェットブラック,スポーツバンド,ブラック,S / M,130-180mm,MEQT4J/A,4549995623345,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,ジェットブラック,スポーツバンド,ブラック,M / L,150-200mm,MEQU4J/A,4549995622720,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,スペースグレイ,スポーツバンド,ブラック,S / M,130-180mm,MEQW4J/A,4549995622768,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,スペースグレイ,スポーツバンド,ブラック,M / L,150-200mm,MEQX4J/A,4549995622782,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,S / M,130-180mm,MEU04J/A,4549995622829,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,M / L,150-200mm,MEU44J/A,4549995622843,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,シルバー,スポーツバンド,パープルフォグ,S / M,130-180mm,MEU64J/A,4549995622881,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,42,アルミニウム,シルバー,スポーツバンド,パープルフォグ,M / L,150-200mm,MEU74J/A,4549995622904,https://www.applejan.com/apple-watch/s11-gps-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,ジェットブラック,スポーツバンド,ブラック,S / M,130-180mm,MEUW4J/A,4549995622942,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,ジェットブラック,スポーツバンド,ブラック,M / L,150-200mm,MEUX4J/A,4549995622966,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,スペースグレイ,スポーツバンド,ブラック,S / M,130-180mm,MEV04J/A,4549995623000,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,スペースグレイ,スポーツバンド,ブラック,M / L,150-200mm,MEV44J/A,4549995623024,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,S / M,130-180mm,MEV64J/A,4549995623062,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,M / L,150-200mm,MEV74J/A,4549995623086,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,シルバー,スポーツバンド,パープルフォグ,S / M,130-180mm,MEV94J/A,4549995623123,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS,46,アルミニウム,シルバー,スポーツバンド,パープルフォグ,M / L,150-200mm,MEVA4J/A,4549995623147,https://www.applejan.com/apple-watch/s11-gps-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,ジェットブラック,スポーツバンド,ブラック,S / M,130-180mm,MF834J/A,4549995625837,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,ジェットブラック,スポーツバンド,ブラック,M / L,150-200mm,MF854J/A,4549995625851,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,スペースグレイ,スポーツバンド,ブラック,S / M,130-180mm,MF8A4J/A,4549995625899,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,スペースグレイ,スポーツバンド,ブラック,M / L,150-200mm,MF8C4J/A,4549995625912,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,S / M,130-180mm,MF8E4J/A,4549995625950,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,M / L,150-200mm,MF8F4J/A,4549995625974,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,シルバー,スポーツバンド,パープルフォグ,S / M,130-180mm,MF8H4J/A,4549995626018,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,アルミニウム,シルバー,スポーツバンド,パープルフォグ,M / L,150-200mm,MF8J4J/A,4549995626032,https://www.applejan.com/apple-watch/s11-cel-42
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,ジェットブラック,スポーツバンド,ブラック,S / M,130-180mm,MFC24J/A,4549995626599,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,ジェットブラック,スポーツバンド,ブラック,M / L,150-200mm,MFC44J/A,4549995626636,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,スペースグレイ,スポーツバンド,ブラック,S / M,130-180mm,MFC94J/A,4549995626698,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,スペースグレイ,スポーツバンド,ブラック,M / L,150-200mm,MFCA4J/A,4549995626711,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,S / M,130-180mm,MFCG4J/A,4549995626759,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,ローズゴールド,スポーツバンド,ライトブラッシュ,M / L,150-200mm,MFCJ4J/A,4549995626773,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,シルバー,スポーツバンド,パープルフォグ,S / M,130-180mm,MFCP4J/A,4549995626810,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,アルミニウム,シルバー,スポーツバンド,パープルフォグ,M / L,150-200mm,MFCR4J/A,4549995626834,https://www.applejan.com/apple-watch/s11-cel-46
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,ナチュラル,スポーツバンド,ストーングレイ,S / M,130-180mm,MF8M4J/A,4549995626070,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,ナチュラル,スポーツバンド,ストーングレイ,M / L,150-200mm,MF8N4J/A,4549995626094,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,ナチュラル,ミラネーゼループ,ナチュラル,フリーサイズ,130-180mm,MF8P4J/A,4549995626117,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,スレート,スポーツバンド,ブラック,S / M,130-180mm,MF8R4J/A,4549995626155,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,スレート,スポーツバンド,ブラック,M / L,150-200mm,MF8T4J/A,4549995626179,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,スレート,ミラネーゼループ,スレート,フリーサイズ,130-180mm,MF8U4J/A,4549995626193,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,ゴールド,スポーツバンド,スターライト,S / M,130-180mm,MF8W4J/A,4549995626230,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,ゴールド,スポーツバンド,スターライト,M / L,150-200mm,MF8X4J/A,4549995626254,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,42,チタニウム,ゴールド,ミラネーゼループ,ゴールド,フリーサイズ,130-180mm,MF8Y4J/A,4549995626278,https://www.applejan.com/apple-watch/s11-cel-42-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,ナチュラル,スポーツバンド,ストーングレイ,S / M,140-190mm,MFCW4J/A,4549995626872,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,ナチュラル,スポーツバンド,ストーングレイ,M / L,160-210mm,MFCX4J/A,4549995626896,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,ナチュラル,ミラネーゼループ,ナチュラル,S / M,130-180mm,MFCY4J/A,4549995626919,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,ナチュラル,ミラネーゼループ,ナチュラル,M / L,150-200mm,MFD04J/A,4549995626933,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,スレート,スポーツバンド,ブラック,S / M,140-190mm,MFD14J/A,4549995626957,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,スレート,スポーツバンド,ブラック,M / L,160-210mm,MFD24J/A,4549995626971,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,スレート,ミラネーゼループ,スレート,S / M,130-180mm,MFD34J/A,4549995626995,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,スレート,ミラネーゼループ,スレート,M / L,150-200mm,MFD44J/A,4549995627015,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,ゴールド,スポーツバンド,スターライト,S / M,140-190mm,MFD54J/A,4549995627039,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,ゴールド,スポーツバンド,スターライト,M / L,160-210mm,MFD64J/A,4549995627053,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,ゴールド,ミラネーゼループ,ゴールド,S / M,130-180mm,MFD74J/A,4549995627077,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch Series 11,2025-09-19,GPS+Cellular,46,チタニウム,ゴールド,ミラネーゼループ,ゴールド,M / L,150-200mm,MFD84J/A,4549995627091,https://www.applejan.com/apple-watch/s11-cel-46-titanium
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS,40,アルミニウム,スターライト,スポーツバンド,スターライト,S / M,130-180mm,MEH34J/A,4549995615388,https://www.applejan.com/apple-watch/se3-2025-gps-40
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS,40,アルミニウム,スターライト,スポーツバンド,スターライト,M / L,150-200mm,MEH54J/A,4549995615395,https://www.applejan.com/apple-watch/se3-2025-gps-40
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS,40,アルミニウム,ミッドナイト,スポーツバンド,ミッドナイト,S / M,130-180mm,MEH94J/A,4549995615418,https://www.applejan.com/apple-watch/se3-2025-gps-40
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS,40,アルミニウム,ミッドナイト,スポーツバンド,ミッドナイト,M / L,150-200mm,MEHC4J/A,4549995615425,https://www.applejan.com/apple-watch/se3-2025-gps-40
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS,44,アルミニウム,スターライト,スポーツバンド,スターライト,S / M,130-180mm,MEHG4J/A,4549995615449,https://www.applejan.com/apple-watch/se3-2025-gps-44
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS,44,アルミニウム,スターライト,スポーツバンド,スターライト,M / L,150-200mm,MEHJ4J/A,4549995615456,https://www.applejan.com/apple-watch/se3-2025-gps-44
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS,44,アルミニウム,ミッドナイト,スポーツバンド,ミッドナイト,S / M,130-180mm,MEHN4J/A,4549995615470,https://www.applejan.com/apple-watch/se3-2025-gps-44
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS,44,アルミニウム,ミッドナイト,スポーツバンド,ミッドナイト,M / L,150-200mm,MEHQ4J/A,4549995615487,https://www.applejan.com/apple-watch/se3-2025-gps-44
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS+Cellular,40,アルミニウム,スターライト,スポーツバンド,スターライト,S / M,130-180mm,MEP64J/A,4549995618761,https://www.applejan.com/apple-watch/se3-2025-cel-40
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS+Cellular,40,アルミニウム,スターライト,スポーツバンド,スターライト,M / L,150-200mm,MEP74J/A,4549995618808,https://www.applejan.com/apple-watch/se3-2025-cel-40
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS+Cellular,40,アルミニウム,ミッドナイト,スポーツバンド,ミッドナイト,S / M,130-180mm,MEP94J/A,4549995618884,https://www.applejan.com/apple-watch/se3-2025-cel-40
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS+Cellular,40,アルミニウム,ミッドナイト,スポーツバンド,ミッドナイト,M / L,150-200mm,MEPC4J/A,4549995618921,https://www.applejan.com/apple-watch/se3-2025-cel-40
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS+Cellular,44,アルミニウム,スターライト,スポーツバンド,スターライト,S / M,130-180mm,MEPE4J/A,4549995619003,https://www.applejan.com/apple-watch/se3-2025-cel-44
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS+Cellular,44,アルミニウム,スターライト,スポーツバンド,スターライト,M / L,150-200mm,MEPF4J/A,4549995619041,https://www.applejan.com/apple-watch/se3-2025-cel-44
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS+Cellular,44,アルミニウム,ミッドナイト,スポーツバンド,ミッドナイト,S / M,130-180mm,MEPH4J/A,4549995619126,https://www.applejan.com/apple-watch/se3-2025-cel-44
Apple Watch（本体）,Apple Watch SE 3,2025-09-19,GPS+Cellular,44,アルミニウム,ミッドナイト,スポーツバンド,ミッドナイト,M / L,150-200mm,MEPJ4J/A,4549995619164,https://www.applejan.com/apple-watch/se3-2025-cel-44
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,オーシャンバンド,アンカーブルー,フリーサイズ,,MEWH4J/A,4549995629477,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,オーシャンバンド,ブラック,フリーサイズ,,MF0J4J/A,4549995629514,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,アルパインループ,ライトブルー,S,,MEWK4J/A,4549995629552,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,アルパインループ,ライトブルー,M,,MEWM4J/A,4549995629576,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,アルパインループ,ライトブルー,L,,MEWP4J/A,4549995629590,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,アルパインループ,ブラック,S,,MF0Q4J/A,4549995629637,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,アルパインループ,ブラック,M,,MF0V4J/A,4549995629675,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,アルパインループ,ブラック,L,,MF0X4J/A,4549995629699,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,トレイルループ,ナチュラル/ブルー,S / M,,MEWR4J/A,4549995629736,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,トレイルループ,ブライトブルー,M / L,,MEWU4J/A,4549995629750,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,トレイルループ,ブラック/チャコール,S / M,,MF1D4J/A,4549995629798,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,トレイルループ,ブラック/チャコール,M / L,,MF1H4J/A,4549995629835,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,チタニウム ミラネーゼループ,ナチュラルチタニウム,S,,MEWW4J/A,4549995629873,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,チタニウム ミラネーゼループ,ナチュラルチタニウム,M,,MEWY4J/A,4549995629897,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ナチュラル,チタニウム ミラネーゼループ,ナチュラルチタニウム,L,,MF0E4J/A,4549995629934,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ブラック,チタニウム ミラネーゼループ,ブラックチタニウム,S,,MF1N4J/A,4549995629972,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ブラック,チタニウム ミラネーゼループ,ブラックチタニウム,M,,MF1Q4J/A,4549995629996,https://www.applejan.com/apple-watch/u3
Apple Watch（本体）,Apple Watch Ultra 3,2025-09-19,GPS+Cellular,49,チタニウム,ブラック,チタニウム ミラネーゼループ,ブラックチタニウム,L,,MF1T4J/A,4549995630039,https://www.applejan.com/apple-watch/u3
